energy	cross section	transition
19.655	4.5256e-13	2 2 2 10
20.102	4.2437e-13	2 2 2 11
7.1551	5.977e-13	2 2 3 4
14.761	6.602e-13	2 2 3 5
16.102	1.4042e-13	2 2 3 6
17.135	1.0134e-13	2 2 3 7
17.447	1.9752e-13	2 2 3 8
18.881	5.1866e-13	2 2 3 9
18.913	3.0566e-13	2 2 3 10
19.361	4.0173e-13	2 2 3 11
19.293	1.9564e-13	3 0 0 4
21.117	1.6813e-13	3 0 0 5
21.769	1.5913e-13	3 0 0 6
26.323	8.1556e-14	3 0 0 7
26.585	5.1004e-14	3 0 0 8
26.585	5.1002e-14	3 0 0 9
26.585	9.0847e-14	3 0 0 10
29.455	4.0572e-14	3 0 0 11
12.139	1.4917e-13	3 0 1 4
13.964	1.2475e-13	3 0 1 5
14.616	1.1758e-13	3 0 1 6
19.17	5.6685e-14	3 0 1 7
19.431	4.3482e-14	3 0 1 8
19.431	4.3481e-14	3 0 1 9
19.431	6.811e-14	3 0 1 10
22.301	2.9107e-14	3 0 1 11
11.619	1.907e-13	3 0 2 4
13.443	1.5671e-13	3 0 2 5
14.095	1.4634e-13	3 0 2 6
18.649	6.5887e-14	3 0 2 7
18.91	4.8471e-14	3 0 2 8
18.91	4.8469e-14	3 0 2 9
18.911	7.8456e-14	3 0 2 10
21.78	3.125e-14	3 0 2 11
4.333	2.4055e-14	3 0 3 4
6.1572	6.0813e-14	3 0 3 5
6.8093	6.7808e-14	3 0 3 6
11.363	8.3173e-14	3 0 3 7
11.624	2.0073e-14	3 0 3 8
11.624	2.007e-14	3 0 3 9
11.625	6.8827e-14	3 0 3 10
14.495	5.2316e-14	3 0 3 11
22.082	1.7063e-12	3 1 0 4
22.672	3.5858e-12	3 1 0 5
24.586	2.7256e-12	3 1 0 6
24.937	3.0673e-12	3 1 0 7
26.037	2.4126e-12	3 1 0 8
30.246	1.8877e-12	3 1 0 9
31.063	1.6523e-12	3 1 0 10
32.924	2.4795e-12	3 1 0 11
14.928	1.2368e-12	3 1 1 4
15.518	2.7333e-12	3 1 1 5
17.432	2.1237e-12	3 1 1 6
17.783	2.2522e-12	3 1 1 7
18.883	1.807e-12	3 1 1 8
23.092	1.3e-12	3 1 1 9
23.909	1.2089e-12	3 1 1 10
25.77	1.834e-12	3 1 1 11
14.408	1.4837e-12	3 1 2 4
14.998	3.4895e-12	3 1 2 5
16.911	2.5906e-12	3 1 2 6
17.263	2.8252e-12	3 1 2 7
18.362	2.1748e-12	3 1 2 8
22.572	1.5294e-12	3 1 2 9
23.389	1.45e-12	3 1 2 10
25.25	2.2756e-12	3 1 2 11
7.1217	1.2e-12	3 1 3 4
7.7117	4.6938e-13	3 1 3 5
9.6254	7.6332e-13	3 1 3 6
9.9769	1.2743e-12	3 1 3 7
